Date Open High Low Close* Adj Close** Volume
"Jun-22-2023", 33900.47, 34003.56, 33835.39, 33954.62, 33954.62, 166802609
"Jun-21-2023", 33990.56, 34097.93, 33876.17, 33951.52, 33951.52, 323690000
"Jun-20-2023", 34206.66, 34206.66, 33915.93, 34053.87, 34053.87, 334810000
"Jun-16-2023", 34464.02, 34588.68, 34285.69, 34299.12, 34299.12, 595230000
"Jun-15-2023", 33945.98, 34488.98, 33945.98, 34408.06, 34408.06, 361400000
"Jun-14-2023", 34044.70, 34151.42, 33783.55, 33979.33, 33979.33, 354910000
"Jun-13-2023", 34111.08, 34310.28, 34107.98, 34212.12, 34212.12, 308790000
"Jun-12-2023", 33906.80, 34077.84, 33878.46, 34066.33, 34066.33, 308130000
"Jun-09-2023", 33852.44, 33975.32, 33787.16, 33876.78, 33876.78, 262310000
"Jun-08-2023", 33656.98, 33873.81, 33630.04, 33833.61, 33833.61, 269160000
"Jun-07-2023", 33562.47, 33708.78, 33546.11, 33665.02, 33665.02, 347400000
"Jun-06-2023", 33547.67, 33631.25, 33399.69, 33573.28, 33573.28, 294070000
"Jun-05-2023", 33771.13, 33804.22, 33552.79, 33562.86, 33562.86, 367170000
"Jun-02-2023", 33187.58, 33805.00, 33187.58, 33762.76, 33762.76, 383590000
"Jun-01-2023", 32929.85, 33167.75, 32704.51, 33061.57, 33061.57, 349460000
"May-31-2023", 32948.71, 32984.83, 32739.73, 32908.27, 32908.27, 689990000
"May-30-2023", 33103.65, 33132.70, 32893.97, 33042.78, 33042.78, 322700000
"May-26-2023", 32795.50, 33162.06, 32795.50, 33093.34, 33093.34, 330290000
"May-25-2023", 32854.26, 32870.43, 32586.56, 32764.65, 32764.65, 364670000
"May-24-2023", 33021.76, 33031.75, 32752.44, 32799.92, 32799.92, 246180000
"May-23-2023", 33190.60, 33310.17, 33013.29, 33055.51, 33055.51, 291550000
"May-22-2023", 33408.54, 33512.30, 33207.85, 33286.58, 33286.58, 268900000
"May-19-2023", 33582.95, 33652.90, 33336.66, 33426.63, 33426.63, 315210000
"May-18-2023", 33374.56, 33579.91, 33212.09, 33535.91, 33535.91, 333070000
"May-17-2023", 33092.48, 33472.38, 33050.41, 33420.77, 33420.77, 307130000
"May-16-2023", 33275.37, 33290.85, 33006.19, 33012.14, 33012.14, 246680000
"May-15-2023", 33321.21, 33400.30, 33161.93, 33348.60, 33348.60, 224020000
"May-12-2023", 33370.58, 33406.40, 33110.61, 33300.62, 33300.62, 227570000
"May-11-2023", 33383.89, 33389.88, 33127.70, 33309.51, 33309.51, 298000000
"May-10-2023", 33707.20, 33772.09, 33239.45, 33531.33, 33531.33, 271180000
"May-09-2023", 33589.85, 33656.40, 33509.72, 33561.81, 33561.81, 232940000
"May-08-2023", 33715.15, 33747.49, 33509.23, 33618.69, 33618.69, 225680000
"May-05-2023", 33248.55, 33748.43, 33248.55, 33674.38, 33674.38, 316350000
"May-04-2023", 33347.78, 33354.86, 32937.50, 33127.74, 33127.74, 305160000
"May-03-2023", 33726.64, 33811.84, 33396.05, 33414.24, 33414.24, 286900000
"May-02-2023", 34017.62, 34017.75, 33436.66, 33684.53, 33684.53, 274460000
"May-01-2023", 34116.81, 34257.83, 34030.14, 34051.70, 34051.70, 244190000
"Apr-28-2023", 33797.43, 34104.56, 33728.40, 34098.16, 34098.16, 354310000
"Apr-27-2023", 33381.66, 33859.75, 33374.65, 33826.16, 33826.16, 343240000
"Apr-26-2023", 33596.34, 33645.83, 33235.85, 33301.87, 33301.87, 321170000
"Apr-25-2023", 33828.34, 33875.49, 33525.39, 33530.83, 33530.83, 297880000
"Apr-24-2023", 33805.04, 33891.15, 33726.09, 33875.40, 33875.40, 252020000
"Apr-21-2023", 33793.60, 33858.83, 33688.57, 33808.96, 33808.96, 291080000
"Apr-20-2023", 33740.60, 33875.39, 33677.74, 33786.62, 33786.62, 307910000
"Apr-19-2023", 33889.83, 33957.98, 33814.65, 33897.01, 33897.01, 251490000
"Apr-18-2023", 33965.16, 34018.62, 33791.89, 33976.63, 33976.63, 253570000
